source_name,source_domain,url,title,description,published_at,retrieved_at,query_used,article_id,feed_url
Fox News,foxnews.com,https://www.foxnews.com/world/israeli-intelligence-sources-reject-claims-jeffrey-epstein-mossad-operative-following-document-releases,Israeli intelligence sources reject claims Jeffrey Epstein was Mossad operative following document releases,Israeli officials deny alleged Jeffrey Epstein-Mossad conspiracy theories as Israeli PM Netanyahu and ex-leader Ehud Barak clash over newly released court documents.,2026-02-15T17:13:10+00:00,2026-02-16T17:10:31.843031+00:00,rss_keyword_filter,6de1557ba745df77,https://moxie.foxnews.com/google-publisher/world.xml
The Guardian,theguardian.com,https://www.theguardian.com/world/2026/feb/15/palestinians-killed-injured-gaza-israeli-airstrikes-hamas,At least 12 Palestinians killed and several hurt in Israeli airstrikes on Gaza,Israel says strikes were in response to Hamas violations of ceasefire as Hamas calls attacks ‘massacre’ of displaced people At least 12 Palestinians were killed and several more injured across the Gaza Strip on Sunday as the Israeli military said it carried out airstrikes in response to ceasefire violations by Hamas. The Gaza civil defence agency said five people were killed and several others hurt when an airstrike targeted a tent sheltering displaced people in the northern city of Jabaliya. Continue reading...,2026-02-15T17:52:38+00:00,2026-02-16T17:10:27.621883+00:00,rss_keyword_filter,ec92177f1512ee69,https://www.theguardian.com/world/rss
Fox News,foxnews.com,https://www.foxnews.com/world/doctors-without-borders-reduces-operations-gaza-hospital-security-concerns,Doctors Without Borders reduces operations at Gaza hospital over security concerns,"Doctors Without Borders halted noncritical operations at Gaza’s Nasser Hospital, citing security concerns.",2026-02-15T17:58:30+00:00,2026-02-16T17:10:31.842698+00:00,rss_keyword_filter,9b58d174165016e3,https://moxie.foxnews.com/google-publisher/world.xml
Hindustan Times,hindustantimes.com,https://www.hindustantimes.com/world-news/benjamin-netanyahu-makes-stance-clear-on-potential-us-iran-deal-amid-talks-in-geneva-there-shall-be-101771177739503.html,Benjamin Netanyahu makes stance clear on potential US-Iran deal amid talks in Geneva: ‘There shall be…’,A second round of talks between the US and Iran is slated for this week. Iran is pursuing a nuclear agreement with the US that delivers economic benefits.,2026-02-15T18:00:22+00:00,2026-02-16T17:10:38.026691+00:00,rss_keyword_filter,c6f7e3522b5f6873,https://www.hindustantimes.com/feeds/rss/world-news/rssfeed.xml
BBC,bbc.com,https://www.bbc.com/news/articles/c8r15eyvk2do?at_medium=RSS&at_campaign=rss,"Eleven killed in Israeli strikes on Gaza, rescuers say",The Palestinian Red Crescent say a strike on a tent encampment in northern Gaza killed at least six people.,2026-02-15T18:42:42+00:00,2026-02-16T17:10:26.313233+00:00,rss_keyword_filter,32b24d4578aaeae9,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml
Hindustan Times,hindustantimes.com,https://www.hindustantimes.com/world-news/donald-trump-says-board-of-peace-members-pledge-5-billion-for-gaza-rebuild-all-about-the-first-meeting-101771182116967.html,Donald Trump says ‘Board of Peace’ members pledge $5 billion for Gaza rebuild. All about the first meeting,"According to Donald Trump, the pledges for Gaza rebuild will be formally announced when board members gather in Washington on Thursday for their first meeting.",2026-02-15T19:11:17+00:00,2026-02-16T17:10:38.026439+00:00,rss_keyword_filter,b93520c028e6d4ad,https://www.hindustantimes.com/feeds/rss/world-news/rssfeed.xml
BBC,bbc.com,https://www.bbc.com/news/articles/cly191kz1lpo?at_medium=RSS&at_campaign=rss,"Iran must abandon enriched uranium and not produce more, Netanyahu says",The Israeli PM's comments come ahead of Iran-US talks in Geneva on Tuesday to discuss a nuclear deal.,2026-02-16T04:26:53+00:00,2026-02-16T17:10:26.312902+00:00,rss_keyword_filter,e6d0e9333ad62636,https://feeds.bbci.co.uk/news/world/middle_east/rss.xml
Hindustan Times,hindustantimes.com,https://www.hindustantimes.com/world-news/israel-plans-to-annex-west-bank-land-as-state-property-why-palestinians-see-it-as-mega-land-grab-explained-101771221093594.html,Israel plans to 'annex' West Bank land as ‘state property’: Why Palestinians see it as mega land grab | Explained,"Under this bill, Israel will resume the ""settlement of land title"" processes in the occupied West Bank, a process which has been paused since 1967.",2026-02-16T06:26:37+00:00,2026-02-16T17:10:38.025417+00:00,rss_keyword_filter,36141ba38151f550,https://www.hindustantimes.com/feeds/rss/world-news/rssfeed.xml
The Guardian,theguardian.com,https://www.theguardian.com/world/2026/feb/16/monday-briefing-how-did-the-government-get-it-so-wrong-on-palestine-action,Monday briefing: How did the government get it so wrong on Palestine Action?,"In today’s newsletter: A landmark ruling stated that Labour’s proscription of the protest group was unlawful and landed another blow to a party in crisis Good morning. Thousands of people across the UK have been arrested for holding a placard with a simple statement: ‘I oppose genocide. I support Palestine Action.’ Those arrests, as well as the charges against more than 500 demonstrators under terrorism legislation, may now be unlawful Defence policy | Britain and Germany’s highest ranking military leaders have made an unprecedented joint appeal to the public to accept the “moral” case for rearmament and prepare for the threat of war with Russia. UK politics | Keir Starmer is facing calls by MPs for an inquiry into the commissioning of a report that made “baseless claims” about journalists who were investigating a thinktank linked to the prime minister. Health | The number of women who are driven to suicide by domestic abusers is being under-reported, and their cases overlooked by police, in what has been described by experts as a “national scandal”. Gaza | At least 12 Palestinians were killed across the Gaza Strip on Sunday as the Israeli military said it carried out airstrikes in response to ceasefire violations by Hamas. Epstein files | The UK’s top prosecutor has said “nobody is above the law” amid growing pressure on police to fully investigate Andrew Mountbatten-Windsor’s links with Jeffrey Epstein. Continue reading...",2026-02-16T06:50:35+00:00,2026-02-16T17:10:28.935947+00:00,rss_keyword_filter,6b44a10b73c2af9b,https://www.theguardian.com/world/israel-hamas-war/rss
The Guardian,theguardian.com,https://www.theguardian.com/world/2026/feb/16/gaza-jobs-unemployment-crisis-aid-food-basics,‘Life requires cash’: Gaza’s jobs crisis leaves people struggling to afford basics,"Fresh fruit and other items now available but at high prices in territory where unemployment is estimated at 80% Every morning, Mansour Mohammad Bakr sets out from the small rented room in Gaza City he shares with his pregnant wife and two very young daughters. The 23-year-old walks past the port and the breaking waves of the Mediterranean where he once earned his living. Before the two-year war that devastated Gaza, Bakr was a fisher, sharing tackle and a boat with his father and brothers. Now his brothers are dead, his father is too old, and his equipment was destroyed during the conflict. Like hundreds of thousands of others across Gaza, Bakr needs a job. Continue reading...",2026-02-16T07:00:46+00:00,2026-02-16T17:10:27.621779+00:00,rss_keyword_filter,a166b32e81b1506b,https://www.theguardian.com/world/rss
